station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,min_K,max_K,gamma_acf,gamma_stable,gamma_spectrum
059_BL_Do,6.66025059574411,0.015489507081972,0.8371221244954227,2.7308650024561236e-05,822,46.46094955,12.41035969,94.6068,5.7220458984375e-06,6.0,2.3177831736856924,True,1.6650626489360274
076_VI_Tu,16.50783914749121,0.0057706453363417,0.8823706007602162,0.0105919508177217,714,45.70401092,11.18480016,82.7204,5.7220458984375e-06,6.0,4.9522530639300495,True,4.126959786872803
091_BL_Pa,17.780338130773586,0.0021525908208686,0.7356230939828018,0.0182860732531024,1621,46.65215334,12.42397152,111.9813,5.7220458984375e-06,6.0,3.499145045348624,True,4.4450845326933965
093_BL_To,13.57187601492317,0.0020825648236697,0.6806264801635815,0.0350542987777272,593,46.15155195,12.36301566,65.2115,5.7220458984375e-06,6.0,2.414179836422567,True,3.3929690037307925
096_RO_Ba,2.4760215563841173,0.0660204313039455,0.8525498766767725,3.420966735848229e-05,6,44.98944662,11.52950565,57.6021,5.7220458984375e-06,6.0,0.9421642611485328,False,0.6190053890960293
101_RO_Po,2.711785287109939,0.0544116415237516,0.834117289229536,0.0041637427501829,-3,44.9173386,12.36910037,4.560899999999999,5.7220458984375e-06,6.0,0.9681898776955704,False,0.6779463217774847
104_VR_Vi,3.5107123302518093,0.0248959641241641,0.738921447850578,0.064219193198582,67,45.3724202,10.83262812,102.6398,5.7220458984375e-06,6.0,0.9982195115823868,True,0.8776780825629523
105_VI_Lo,3.6465502033446975,0.0205960945076448,0.7136633497804029,0.0650173680649738,29,45.39045584,11.37964132,59.773300000000006,5.7220458984375e-06,6.0,0.9450721772036076,False,0.9116375508361744
112_RO_Ro,2.608548871670937,0.0627506499548933,0.8602697073260401,0.0336833476999087,-2,45.07114136,12.26177816,2.5791,5.7220458984375e-06,6.0,0.9541543487179038,False,0.6521372179177343
114_RO_Vi,3.743567764815861,0.0233058440069551,0.7457873135101826,0.0608331660809208,0,45.07144877,11.92220596,27.0152,5.7220458984375e-06,6.0,1.0144777176979662,True,0.9358919412039652
115_RO_Ad,3.252868587020965,0.0349753007481283,0.7883934270443129,0.032374744166035,-1,45.01567605,12.0076803,23.5165,5.7220458984375e-06,6.0,0.976218227984117,False,0.8132171467552413
116_RO_Fr,3.301629030463182,0.0254645564627859,0.7239702826584109,0.0733716337285784,4,44.99058314,11.6786399,47.88,5.7220458984375e-06,6.0,0.8730464468740888,True,0.8254072576157955
117_VR_So,3.321539680532481,0.0361395992170791,0.8040552849039,0.0336002265344108,24,45.21753966,11.00830055,89.7255,5.7220458984375e-06,6.0,1.0217464303815678,True,0.8303849201331203
118_VR_Ba,4.163453855090928,0.0148826781250095,0.6939255435342228,0.0636879913679478,160,45.51796066,10.7659099,108.6995,5.7220458984375e-06,6.0,1.034754885754834,False,1.040863463772732
120_VR_Do,4.84462278643594,0.0132926547915511,0.7157348777819916,0.0163234274976011,105,45.59957097,10.84874997,103.8928,5.7220458984375e-06,6.0,1.230659631164045,False,1.211155696608985
123_VR_Ar,2.931538609493098,0.0394923689121724,0.7797734984057381,0.0313236270893229,27,45.37550277,11.29582046,66.3564,5.7220458984375e-06,6.0,0.9126291074084018,True,0.7328846523732745
125_VR_Sa,3.587427711141497,0.0210835924942728,0.7131451804992371,0.0336657016087782,127,45.50931262,10.88807026,99.1084,5.7220458984375e-06,6.0,0.9546966789823812,True,0.8968569277853743
