station_id,A,B,c,breakpoint,min_K,max_K,Elv,Lat,Lon,distance_to_coast,int_scale
129_VR_Ca,3.660387789389501,0.0212992552317548,0.7211270236907756,0.0169336179607742,5.7220458984375e-06,6.0,120,45.45487236,10.77166288,107.5925,1.0291453907700014
134_VI_Ma,5.48510367207305,0.0167955046886128,0.7955576074004471,0.0162049626339362,5.7220458984375e-06,6.0,98,45.66931288,11.46439144,61.615199999999994,1.6287605655523787
135_VI_Ri,14.70690647197918,0.0075744359380693,0.909870839086246,0.0038092192621445,5.7220458984375e-06,6.0,1130,45.71889138,11.18131677,83.6742,5.300352916500574
137_VI_Va,14.574606718316236,0.0061409028012349,0.8622957031320462,0.0045076718741623,5.7220458984375e-06,6.0,602,45.75778254,11.21365428,83.4436,4.557779968253641
139_VI_Lu,5.715852254215819,0.016619683708484,0.805808176131662,0.008238955658539,5.7220458984375e-06,6.0,767,45.78414598,11.58812049,61.8567,1.9929102860139232
140_VI_Pa,8.30325013994846,0.0118082841818081,0.8433893070006583,0.0083714305862585,5.7220458984375e-06,6.0,807,45.6198264,11.25910319,73.7736,2.968364426467613
144_VI_Ro,3.690238861837489,0.0308974995817954,0.8035268798845857,0.0079974389189471,5.7220458984375e-06,6.0,88,45.71658505,11.77625641,45.945800000000006,1.2837962805248968
145_VI_Ba,3.824949079950994,0.0239775953044598,0.7584813956778567,0.0161191141674468,5.7220458984375e-06,6.0,16,45.39775173,11.57053751,44.8363,1.2191272381060496
147_VI_Br,5.278977076946512,0.0146875336265977,0.7575142975340149,0.0088210424869136,5.7220458984375e-06,6.0,196,45.72042777,11.57629665,57.737300000000005,1.4992837369575973
148_VI_Br,4.718424456354872,0.0218236190012322,0.8055084801383445,0.0042600363751106,5.7220458984375e-06,6.0,80,45.472092,11.46922467,53.566900000000004,1.6681110672182835
149_VI_Mo,4.17024238378877,0.018752238765556,0.7358083806174767,0.0170329994138622,5.7220458984375e-06,6.0,22,45.44957583,11.66198536,38.2854,1.2122244966293907
159_VE_Po,3.711144376082366,0.0331590448888103,0.8230647853992495,0.0165553444364793,5.7220458984375e-06,6.0,2,45.74548888,12.76128681,15.069700000000001,1.2761377112266947
