station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
129_VR_Ca,1.427444893053904,1.430724552599472,1.4359009165828676,1.4320864772828144,1.4259909156463741,1.4241409046330242,1.4224272462260532,1.6532232239786202,,,,,,,,,
134_VI_Ma,1.4264455702540515,1.4076293891548552,1.430219428860749,1.431038418088629,1.4220036107185896,1.4019125908245362,1.4053654129952693,1.4036947828829762,,,,,,,,,
135_VI_Ri,1.3980930648312275,1.3953114480318622,1.4040468046313086,1.4006754230448464,1.3989214017778866,1.3993077777111202,1.3964537522855152,1.4099377918736677,1.4143609226453289,,,,,,,,
137_VI_Va,1.3939982464690543,1.3972784341918651,1.3995486812885618,1.4041952627615257,1.4102067296447027,1.4147138882598151,1.4070886028316867,1.4038119951773935,1.4308293301917538,,,,,,,,
139_VI_Lu,1.408876357889202,1.4190403094095065,1.4166131902160564,1.4057939504489998,1.4227588877442814,1.4075297797572435,1.4049869074959416,1.395857702607404,1.3944519855466537,,,,,,,,
140_VI_Pa,1.4053501762801337,1.4156309955820787,1.4209984867118182,1.405414420078798,1.4002494805674943,1.408712094439864,1.40216432883134,1.403545623999535,1.4216399358684522,,,,,,,,
144_VI_Ro,1.4232466895537894,1.432514249703908,1.4332568352819628,1.429475570871356,1.4276455688312861,1.414806182934127,1.417124789115899,1.4048976950975498,,,,,,,,,
145_VI_Ba,1.4277906912672769,1.4315347563003884,1.4238013166716394,1.4249619165965122,1.4079666112700544,1.4221238452274336,1.418404485733189,1.6549888048936805,1.4431707494584802,,,,,,,,
147_VI_Br,1.4186006546796281,1.4252477599156035,1.4209316831191268,1.4174461767523565,1.4092326014155165,1.4114617300820185,1.394056016722545,1.6521052679988364,,,,,,,,,
148_VI_Br,1.4262437475864116,1.4338505053420625,1.43217295061147,1.4211979134910757,1.4106845333881,1.4165763606171073,1.407396832363024,1.4172131275949558,1.4320658637413886,,,,,,,,
